Block,Row,Col,X,Y,Label
B9,3,1,19.82,214.25,
B9,3,2,26.38,214.25,
B9,3,3,32.92,214.25,
B9,3,4,39.48,214.25,
B9,4,0,13.28,224.42,
B9,4,1,19.82,224.42,
B9,4,2,26.38,224.42,
B9,4,3,32.92,224.42,
B9,4,4,39.48,224.42,
B9,5,0,13.28,234.58,
B9,5,1,19.82,234.58,
B9,5,2,26.38,234.58,
B9,5,3,32.92,234.58,
B9,5,4,39.48,234.58,
B9,6,0,13.28,244.75,
B9,6,1,19.82,244.75,
B9,6,2,26.38,244.75,
B9,6,3,32.92,244.75,
B9,6,4,39.48,244.75,
B9,7,0,13.28,254.92,
B9,7,1,19.82,254.92,
B9,7,2,26.38,254.92,
B9,7,3,32.92,254.92,
B9,7,4,39.48,254.92,
B10,0,0,49.02,183.75,
B10,0,1,55.57,183.75,
B10,0,2,62.12,183.75,
B10,0,3,68.68,183.75,
B10,0,4,75.23,183.75,
B10,1,0,49.02,193.92,
B10,1,1,55.57,193.92,
B10,1,2,62.12,193.92,
B10,1,3,68.68,193.92,
B10,1,4,75.23,193.92,
B10,2,0,49.02,204.08,
B10,2,1,55.57,204.08,
B10,2,2,62.12,204.08,
B10,2,3,68.68,204.08,
B10,2,4,75.23,204.08,
B10,3,0,49.02,214.25,
B10,3,1,55.57,214.25,
B10,3,2,62.12,214.25,
B10,3,3,68.68,214.25,
B10,3,4,75.23,214.25,
B10,4,0,49.02,224.42,
B10,4,1,55.57,224.42,
B10,4,2,62.12,224.42,
B10,4,3,68.68,224.42,
B10,4,4,75.23,224.42,
B10,5,0,49.02,234.58,
B10,5,1,55.57,234.58,
B10,5,2,62.12,234.58,
B10,5,3,68.68,234.58,
B10,5,4,75.23,234.58,
B10,6,0,49.02,244.75,
B10,6,1,55.57,244.75,
B10,6,2,62.12,244.75,
B10,6,3,68.68,244.75,
B10,6,4,75.23,244.75,
B10,7,0,49.02,254.92,
B10,7,1,55.57,254.92,
B10,7,2,62.12,254.92,
B10,7,3,68.68,254.92,
B10,7,4,75.23,254.92,
B11,0,0,84.78,183.75,
B11,0,1,91.33,183.75,
B11,0,2,97.88,183.75,
B11,0,3,104.43,183.75,
B11,0,4,110.98,183.75,
B11,1,0,84.78,193.92,
B11,1,1,91.33,193.92,
B11,1,2,97.88,193.92,
B11,1,3,104.43,193.92,
B11,1,4,110.98,193.92,
B11,2,0,84.78,204.08,
B11,2,1,91.33,204.08,
B11,2,2,97.88,204.08,
B11,2,3,104.43,204.08,
B11,2,4,110.98,204.08,
B11,3,0,84.78,214.25,
B11,3,1,91.33,214.25,
B11,3,2,97.88,214.25,
B11,3,3,104.43,214.25,
B11,3,4,110.98,214.25,
B11,4,0,84.78,224.42,
B11,4,1,91.33,224.42,
B11,4,2,97.88,224.42,
B11,4,3,104.43,224.42,
B11,4,4,110.98,224.42,
B11,5,0,84.78,234.58,
B11,5,1,91.33,234.58,
B11,5,2,97.88,234.58,
B11,5,3,104.43,234.58,
B11,5,4,110.98,234.58,
B11,6,0,84.78,244.75,
B11,6,1,91.33,244.75,
B11,6,2,97.88,244.75,
B11,6,3,104.43,244.75,
B11,6,4,110.98,244.75,
B11,7,0,84.78,254.92,
B11,7,1,91.33,254.92,
B11,7,2,97.88,254.92,
B11,7,3,104.43,254.92,
B11,7,4,110.98,254.92,
B12,0,0,120.53,183.75,
B12,0,1,127.08,183.75,
B12,0,2,133.62,183.75,
B12,0,3,140.18,183.75,
B12,0,4,146.72,183.75,
B12,1,0,120.53,193.92,
B12,1,1,127.08,193.92,
B12,1,2,133.62,193.92,
B12,1,3,140.18,193.92,
B12,1,4,146.72,193.92,
B12,2,0,120.53,204.08,
B12,2,1,127.08,204.08,
B12,2,2,133.62,204.08,
B12,2,3,140.18,204.08,
B12,2,4,146.72,204.08,
B12,3,0,120.53,214.25,
B12,3,1,127.08,214.25,
B12,3,2,133.62,214.25,
B12,3,3,140.18,214.25,
B12,3,4,146.72,214.25,
B12,4,0,120.53,224.42,
B12,4,1,127.08,224.42,
B12,4,2,133.62,224.42,
B12,4,3,140.18,224.42,
B12,4,4,146.72,224.42,
B12,5,0,120.53,234.58,
B12,5,1,127.08,234.58,
B12,5,2,133.62,234.58,
B12,5,3,140.18,234.58,
B12,5,4,146.72,234.58,
B12,6,0,120.53,244.75,
B12,6,1,127.08,244.75,
B12,6,2,133.62,244.75,
B12,6,3,140.18,244.75,
B12,6,4,146.72,244.75,
B12,7,0,120.53,254.92,
B12,7,1,127.08,254.92,
B12,7,2,133.62,254.92,
B12,7,3,140.18,254.92,
B12,7,4,146.72,254.92,
