SampleID,X_ft,Y_ft,Lat,Lon,NearestPlotID,NearestPlotLat,NearestPlotLon,Distance_m,Decimal_Latitude,Decimal_Longitude,Matched_PlotID,Matched_PlotIndex,Matched_X,Matched_Y,Matched_Lat,Matched_Lon
S024,83.12227203909345,196.3366099068365,48.62252364600533,82.09766276472486,Row11_Range18,48.62255073043478,82.0976295,3.913233352910806,48.62252364600533,82.09766276472486,Row11_Range18,P221,1302801.699723354,14552791.655330153,48.62255073043477,82.09762950000001
S025,12.461778221933706,222.8905985280974,48.62274640446543,82.0968907105043,Row03_Range20,48.62274768695652,82.09692874999999,2.829142849927818,48.62274640446543,82.0968907105043,Row03_Range20,P401,1302850.0578302587,14552762.36927347,48.62274768695652,82.09692875
S026,114.79732041933806,242.12102638854984,48.622907726388036,82.09800885422223,Row15_Range22,48.622944643478256,82.09797655,4.781776147750614,48.622907726388036,82.09800885422223,Row15_Range22,P102,1302769.8734351778,14552751.662953023,48.62294464347827,82.09797654999998
S027,66.47173168538133,225.4831152039974,48.622768152799765,82.09748083675832,Row09_Range20,48.62274768695652,82.0974546,3.0092563317990373,48.622768152799765,82.09748083675832,Row09_Range20,P257,1302811.4005900077,14552767.956949009,48.62274768695654,82.0974546
S028,22.867603195110835,84.86327554435576,48.62158850858929,82.09700440714941,Row04_Range08,48.621565947826085,82.0970162,2.675179018091317,48.62158850858929,82.09700440714941,Row04_Range08,P446,1302862.570206543,14552894.338266825,48.62156594782608,82.09701620000001
S029,39.87551611297407,136.05369527861205,48.622017939332615,82.09719023985792,Row06_Range13,48.62205833913043,82.0971916,4.527503554082299,48.622017939332615,82.09719023985792,Row06_Range13,P370,1302841.783593582,14552841.602189973,48.62205833913046,82.0971916
S030,38.47430950681462,16.054125189908905,48.62101127627243,82.09717492992425,Row06_Range02,48.62097507826087,82.0971916,4.2404321763663955,48.62101127627243,82.09717492992425,Row06_Range02,P433,1302859.145872009,14552961.721989257,48.6209750782609,82.0971916
S031,147.94035062217873,223.8174428551883,48.6227541796595,82.09837098325598,Row20_Range20,48.62274768695652,82.0984135,3.2407428181488798,48.6227541796595,82.09837098325598,Row20_Range20,P014,1302740.9081665021,14552778.145501183,48.622747686956515,82.0984135
S032,44.34145757776372,226.84700975472077,48.622779594359606,82.09723903585086,Row07_Range20,48.62274768695652,82.09727815,4.606591479186884,48.622779594359606,82.09723903585086,Row07_Range20,P305,1302824.3721039677,14552766.082024138,48.622747686956515,82.09727814999998
S033,158.8852642226671,17.834466790779707,48.6210262113603,82.0984905701182,Row21_Range03,48.62107355652174,82.09850275,5.381123016604663,48.6210262113603,82.0984905701182,Row21_Range03,P067,1302761.1765346976,14552964.733531613,48.62107355652177,82.09850275
S034,104.80407654422926,39.43350823601199,48.62120740331909,82.09789966554133,Row14_Range04,48.62117203478261,82.0978902,4.024564865388664,48.62120740331909,82.09789966554133,Row14_Range04,P230,1302804.630704772,14552947.305152461,48.621172034782646,82.09789020000001
S035,74.56720483193479,41.05781515403411,48.62122102944935,82.0975692899218,Row10_Range04,48.62117203478261,82.0975425,5.838902154940668,48.62122102944935,82.0975692899218,Row10_Range04,P325,1302830.1922861258,14552943.610648662,48.621172034782646,82.0975425
S036,117.0734229027296,265.8693008120408,48.62310694802348,82.09803372348699,Row16_Range24,48.6231416,82.098064,4.486677201174851,48.62310694802348,82.09803372348699,Row16_Range24,P066,1302760.288082939,14552730.752165278,48.62314160000001,82.09806399999998
S037,102.88751077576902,93.62761002508287,48.62166203161743,82.09787872466461,Row14_Range09,48.62166442608696,82.0978902,0.8936016876108149,48.62166203161743,82.09787872466461,Row14_Range09,P202,1302796.7392871168,14552892.705222921,48.62166442608696,82.09789020000001
S038,98.35246729912859,148.4761039498315,48.62212214953869,82.09782917364582,Row13_Range14,48.62215681739131,82.0978047,4.288520642606366,48.62212214953869,82.09782917364582,Row13_Range14,P195,1302795.1333204801,14552837.19683673,48.62215681739131,82.09780470000001
S039,140.01367858838987,25.46254663021785,48.62109020247451,82.09828437445567,Row19_Range03,48.62107355652174,82.09832615,3.620418686312549,48.62109020247451,82.09828437445567,Row19_Range03,P115,1302774.1595253283,14552962.857181014,48.62107355652176,82.09832615
S040,30.835630101887812,111.39349760948963,48.62181106767439,82.0970914678034,Row05_Range10,48.621762904347825,82.0971046,5.483654983990698,48.62181106767439,82.0970914678034,Row05_Range10,P411,1302852.9146185182,14552873.437660098,48.621762904347825,82.0971046
S041,146.04572975926828,5.632386340032771,48.62092384946319,82.09835028215478,Row19_Range01,48.6208766,82.09832615,5.589057466242179,48.62092384946319,82.09835028215478,Row19_Range01,P127,1302777.3159428537,14552984.697161824,48.6208766,82.09832615
S042,68.90178883263722,56.08046708124135,48.62134705280718,82.09750738817023,Row10_Range06,48.62136899130435,82.0975425,3.5838321195057885,48.62134705280718,82.09750738817023,Row10_Range06,P314,1302827.035623393,14552921.770679023,48.62136899130435,82.0975425
S043,2.352305860676882,92.61883409978533,48.62165356910828,82.09678025188191,Row01_Range09,48.62166442608696,82.09675455,2.2637151948771774,48.62165356910828,82.09678025188191,Row01_Range09,P492,1302880.227101332,14552880.637902124,48.62166442608698,82.09675454999999
S044,16.32663695331276,159.9591050899218,48.622218479159365,82.096932938917,Row03_Range15,48.622255295652174,82.09692874999999,4.1366241116172215,48.622218479159365,82.096932938917,Row03_Range15,P430,1302857.9500848746,14552816.969150791,48.62225529565222,82.09692875
S045,14.940362014526674,141.83230771704572,48.62206641547029,82.09691779213045,Row03_Range13,48.62205833913043,82.09692874999999,1.2170804899432268,48.62206641547029,82.09691779213045,Row03_Range13,P442,1302861.1069704923,14552838.80910516,48.62205833913044,82.09692875
S046,133.70968301212625,77.94953142357687,48.621530509958056,82.098215495424,Row18_Range08,48.621565947826085,82.0982392,4.343347433687311,48.621530509958056,82.098215495424,Row18_Range08,P110,1302772.6606246033,14552907.333396746,48.621565947826106,82.09823919999998
S047,99.93626170922914,228.46322403058713,48.62279315260159,82.0978464785795,Row13_Range20,48.62274768695652,82.0978047,5.964750269022648,48.62279315260159,82.0978464785795,Row13_Range20,P160,1302785.6633975366,14552771.676954895,48.62274768695653,82.09780470000001
S048,8.550731336051367,173.0348814975129,48.62232817039478,82.09684797742825,Row02_Range16,48.62235377391304,82.0968416,2.9074580556467167,48.62232817039478,82.09684797742825,Row02_Range16,P448,1302862.7784181745,14552805.123091167,48.62235377391304,82.09684159999999
S049,114.28466532993468,154.55588396656154,48.62217315213772,82.09800325282455,Row15_Range14,48.62215681739131,82.09797655,2.698789392008287,48.62217315213772,82.09800325282455,Row15_Range14,P148,1302782.4998147541,14552839.02279876,48.62215681739131,82.09797654999998
S050,150.57480089200467,86.35748184188091,48.6216010433199,82.09839976791824,Row20_Range08,48.621565947826085,82.0984135,4.062223095052475,48.6216010433199,82.09839976791824,Row20_Range08,P062,1302759.8468507743,14552909.185320852,48.621565947826085,82.0984135
S051,150.31788675242314,158.6524640004679,48.62220751789245,82.09839696081012,Row20_Range15,48.622255295652174,82.0984135,5.492151804826814,48.62220751789245,82.09839696081012,Row20_Range15,P030,1302748.7993255155,14552832.745417457,48.622255295652174,82.0984135
S052,17.051248172573015,36.815443731734014,48.62118544066686,82.09694085620035,Row03_Range04,48.62117203478261,82.09692874999999,1.750607524253011,48.62118544066686,82.09694085620035,Row03_Range04,P481,1302875.3128410098,14552937.088924112,48.6211720347826,82.09692875
S053,1.8143793146113119,13.747866154070238,48.620991929321626,82.09677437436198,Row01_Range02,48.62097507826087,82.09675455,2.394355407219223,48.620991929321626,82.09677437436198,Row01_Range02,P503,1302891.2762430052,14552957.077765219,48.620975078260884,82.09675454999999
S054,64.13292005519763,203.7116078359586,48.622585514043514,82.09745528231775,Row09_Range18,48.62255073043478,82.0974546,3.897468505766646,48.622585514043514,82.09745528231775,Row09_Range18,P269,1302814.557343598,14552789.796903983,48.62255073043478,82.0974546
S055,48.763580458600586,202.81812562357013,48.62257801872051,82.09728735307098,Row07_Range18,48.62255073043478,82.09727815,3.1328557600446216,48.62257801872051,82.09728735307098,Row07_Range18,P317,1302827.5289096392,14552787.92197726,48.6225507304348,82.09727814999998
S056,47.067246665522774,28.36453000719151,48.62111454689062,82.09726881850388,Row07_Range03,48.62107355652174,82.09727815,4.6445568143338125,48.62111454689062,82.09726881850388,Row07_Range03,P403,1302851.2046565884,14552951.721688274,48.62107355652176,82.09727814999998
S057,44.30751467774334,261.6481982338222,48.62307153766296,82.09723866498224,Row07_Range23,48.62304312173913,82.09727815,4.328689703049512,48.62307153766296,82.09723866498224,Row07_Range23,P288,1302819.6368780727,14552733.322098134,48.623043121739116,82.09727814999998
S058,107.4407673513522,114.48141640212883,48.62183697188204,82.09792847468427,Row14_Range11,48.62186138260869,82.0978902,3.9449621296308606,48.62183697188204,82.09792847468427,Row14_Range11,P190,1302793.5827038265,14552870.865254538,48.621861382608714,82.09789020000001
S059,114.74279327800772,78.66070068962765,48.62153647587801,82.09800825844505,Row15_Range08,48.621565947826085,82.09797655,4.055948995852465,48.62153647587801,82.09800825844505,Row15_Range08,P182,1302791.969502072,14552904.542703673,48.621565947826106,82.09797654999998
S060,91.67179411586187,262.38286586525936,48.62307770070809,82.09775617894046,Row12_Range23,48.62304312173913,82.0977178,4.809978632236828,48.62307770070809,82.09775617894046,Row12_Range23,P168,1302787.3167186726,14552737.993672831,48.62304312173915,82.0977178
S061,80.42835195621548,80.31078488159625,48.621550318250954,82.09763333028056,Row11_Range08,48.621565947826085,82.0976295,1.7740921409698505,48.621550318250954,82.09763333028056,Row11_Range08,P278,1302817.4830940901,14552900.855143655,48.62156594782609,82.09762950000001
S062,44.48931986696795,156.3131880512341,48.62218789396643,82.09724065143119,Row07_Range14,48.62215681739131,82.09727815,4.458823822252393,48.62218789396643,82.09724065143119,Row07_Range14,P340,1302833.8424931627,14552831.601889392,48.622156817391335,82.09727814999998
S063,8.673427073944513,52.84646505052608,48.62131992312348,82.09684931803257,Row02_Range06,48.62136899130435,82.0968416,5.527392578033566,48.62131992312348,82.09684931803257,Row02_Range06,P488,1302878.5629053265,14552914.32287315,48.62136899130435,82.09684159999999
S064,135.75486821900427,247.02794079940543,48.622948889947814,82.09823784162887,Row18_Range22,48.622944643478256,82.0982392,0.4863526745527388,48.622948889947814,82.09823784162887,Row18_Range22,P036,1302750.5651003756,14552754.453626806,48.62294464347828,82.09823919999998
S065,72.17786482121133,154.25245069998778,48.62217060666976,82.0975431833955,Row10_Range14,48.62215681739131,82.0975425,1.5457777959148613,48.62217060666976,82.0975431833955,Row10_Range14,P268,1302814.4088797276,14552834.410820093,48.622156817391314,82.0975425
S066,148.0568279109451,187.77462121916952,48.62245182043356,82.09837225591596,Row20_Range17,48.622452252173915,82.0984135,3.0639148941635352,48.62245182043356,82.09837225591596,Row20_Range17,P023,1302745.6428688644,14552810.905449474,48.62245225217393,82.0984135
S067,25.091037519614865,184.88415006314563,48.622427572592194,82.0970287009487,Row04_Range17,48.622452252173915,82.0970162,2.9168352799123216,48.622427572592194,82.0970287009487,Row04_Range17,P395,1302848.3643687153,14552796.058461424,48.62245225217393,82.09701620000001
S068,32.41783698090021,68.59168821935936,48.62145200805117,82.09710875539132,Row05_Range07,48.62146746956522,82.0971046,1.759585584668819,48.62145200805117,82.09710875539132,Row05_Range07,P428,1302857.6498308356,14552906.197602514,48.62146746956521,82.0971046
S069,95.03872816165472,73.17352120811192,48.62149044453903,82.09779296690357,Row13_Range07,48.62146746956522,82.0978047,2.7176418935909044,48.62149044453903,82.09779296690357,Row13_Range07,P235,1302806.1814584343,14552913.636721205,48.62146746956522,82.09780470000001
S070,129.9193707155004,189.37732428059826,48.62246526533146,82.09817408152428,Row17_Range17,48.622452252173915,82.0981518,2.2056403115376195,48.62246526533146,82.09817408152428,Row17_Range17,P083,1302764.8815605158,14552808.124908082,48.62245225217394,82.09815180000001
S071,84.03099094875179,99.24449532566472,48.62170915104412,82.09767269361485,Row11_Range09,48.62166442608696,82.0976295,5.950086434947539,48.62170915104412,82.09767269361485,Row11_Range09,P273,1302815.9047674488,14552889.935160095,48.62166442608698,82.09762950000001
S072,86.05801360918095,16.79818705925736,48.62101751812478,82.0976948413712,Row12_Range02,48.62097507826087,82.0977178,5.051512010074004,48.62101751812478,82.0976948413712,Row12_Range02,P289,1302820.461499218,14552967.31329607,48.62097507826087,82.0977178
S073,123.8201311540024,98.43276990842642,48.62170234156979,82.09810743970802,Row16_Range09,48.62166442608696,82.098064,5.334525219425476,48.62170234156979,82.09810743970802,Row16_Range09,P153,1302783.9622988962,14552894.551893959,48.621664426086944,82.09806399999998
S074,32.21321703374713,240.02175028071213,48.62289011579402,82.09710651966262,Row05_Range21,48.62284616521739,82.0971046,4.926267963705561,48.62289011579402,82.09710651966262,Row05_Range21,P348,1302835.551994841,14552753.317909036,48.622846165217396,82.0971046
S075,14.19058335851176,108.30353232119184,48.62178514629892,82.09690959986142,Row03_Range10,48.621762904347825,82.09692874999999,2.869381839687542,48.62178514629892,82.09690959986142,Row03_Range10,P457,1302865.8422815308,14552871.569040392,48.62176290434783,82.09692875
S076,129.37504322192552,227.34916345216607,48.622783806871176,82.098168134066,Row17_Range20,48.62274768695652,82.0981518,4.224809724029448,48.622783806871176,82.098168134066,Row17_Range20,P065,1302760.1467422883,14552775.36496391,48.62274768695655,82.09815180000001
S077,13.12577414884787,67.47957692674403,48.621442678673105,82.09689796548979,Row03_Range07,48.62146746956522,82.09692874999999,3.5977346975576654,48.621442678673105,82.09689796548979,Row03_Range07,P470,1302870.5775717031,14552904.328980042,48.621467469565204,82.09692875
S078,145.8518643408592,66.58620986069666,48.621435184316056,82.09834816393276,Row19_Range07,48.62146746956522,82.09832615,3.9696492176588034,48.621435184316056,82.09834816393276,Row19_Range07,P092,1302767.8466624601,14552919.177225294,48.621467469565204,82.09832615
S079,66.63972705946277,102.90936570458744,48.62173989523452,82.09748267231778,Row09_Range10,48.621762904347825,82.0974546,3.3156819554378036,48.62173989523452,82.09748267231778,Row09_Range10,P315,1302827.1842652266,14552877.156743519,48.62176290434783,82.0974546
S080,47.61003239917501,45.74609094355074,48.621260358874025,82.0972747491165,Row07_Range05,48.62127051304348,82.09727815,1.1653780576818864,48.621260358874025,82.0972747491165,Row07_Range05,P392,1302848.0479204673,14552929.881720422,48.62127051304349,82.09727814999998
S081,125.47083605637116,172.47310956159757,48.62232345775243,82.09812547572245,Row17_Range16,48.62235377391304,82.0981518,3.9192108195789532,48.62232345775243,82.09812547572245,Row17_Range16,P088,1302766.4598286222,14552819.044890456,48.62235377391304,82.09815180000001
S082,20.876441458243136,14.25210694502335,48.620996159341594,82.09698265121848,Row04_Range02,48.62097507826087,82.0970162,3.4334831278025497,48.620996159341594,82.09698265121848,Row04_Range02,P473,1302872.0406607664,14552959.858159188,48.620975078260884,82.09701620000001
S083,110.86181230595884,188.53664456592114,48.62245821296275,82.0979658538767,Row15_Range17,48.622452252173915,82.09797655,1.037895293091076,48.62245821296275,82.0979658538767,Row15_Range17,P131,1302777.7649397994,14552806.262852924,48.62245225217394,82.09797654999998
S084,45.426063986878745,97.16687603975484,48.621691722126776,82.09725088653164,Row07_Range09,48.62166442608696,82.09727815,3.6679554509327326,48.621691722126776,82.09725088653164,Row07_Range09,P369,1302841.7344204043,14552886.201790612,48.62166442608696,82.09727814999998
S085,140.7932115196237,132.59389733472767,48.62198891547209,82.09829289182736,Row19_Range12,48.621959860869566,82.09832615,4.086500752447848,48.62198891547209,82.09829289182736,Row19_Range12,P063,1302759.9555317163,14552864.577291677,48.62195986086959,82.09832615
S086,26.233446200107746,265.6218712284289,48.62310487236419,82.09704118319155,Row04_Range24,48.6231416,82.0970162,4.51401879086987,48.62310487236419,82.09704118319155,Row04_Range24,P354,1302837.3152539092,14552719.618640268,48.623141600000025,82.09701620000001
S087,129.5236567635378,154.76642864191047,48.62217491837361,82.0981697578547,Row17_Range14,48.62215681739131,82.0981518,2.4273700362786186,48.62217491837361,82.0981697578547,Row17_Range14,P100,1302769.6163578802,14552840.884856673,48.622156817391314,82.09815180000001
S088,57.31398318212314,134.02050301580636,48.62200088310863,82.09738077690874,Row08_Range12,48.621959860869566,82.09736595000001,4.726222214242461,48.62200088310863,82.09738077690874,Row08_Range12,P327,1302830.5446538827,14552854.374802426,48.62195986086957,82.09736595000003
S089,106.39292216715695,62.57168387050331,48.62140150690358,82.09791702566582,Row14_Range06,48.62136899130435,82.0978902,4.152365889082978,48.62140150690358,82.09791702566582,Row14_Range06,P219,1302801.4741446646,14552925.465179171,48.62136899130436,82.09789020000001
S090,68.4679286460501,3.1740339104081015,48.620903226617806,82.09750264770537,Row10_Range01,48.6208766,82.0975425,4.20270930997083,48.620903226617806,82.09750264770537,Row10_Range01,P343,1302834.9272628387,14552976.370606808,48.620876599999995,82.0975425
S091,68.40361244421669,246.28159540487374,48.62294262893923,82.09750194497046,Row10_Range22,48.622944643478256,82.0975425,3.020769524277945,48.62294262893923,82.09750194497046,Row10_Range22,P222,1302801.781987692,14552747.050992576,48.62294464347827,82.0975425
S092,128.35083333331232,1.291465511151021,48.62088743396068,82.09815694329271,Row17_Range01,48.6208766,82.0981518,1.2725347667083553,48.62088743396068,82.09815694329271,Row17_Range01,P175,1302790.133572036,14552982.844684938,48.620876599999995,82.09815180000001
S093,13.677666340605708,0.9089436479090862,48.62088422502727,82.09690399560185,Row03_Range01,48.6208766,82.09692874999999,2.0275404531990415,48.62088422502727,82.09690399560185,Row03_Range01,P490,1302880.0480894507,14552969.848872595,48.62087660000001,82.09692875
S094,54.66361840524236,117.94528651557373,48.62186602990355,82.0973518183606,Row08_Range11,48.62186138260869,82.09736595000001,1.171728777524892,48.62186602990355,82.0973518183606,Row08_Range11,P333,1302832.1230263736,14552865.29478313,48.62186138260869,82.09736595000003
S095,124.49054287034932,123.96827426960081,48.621916556078595,82.09811476479403,Row17_Range12,48.621959860869566,82.0981518,5.577457449366158,48.621916556078595,82.09811476479403,Row17_Range12,P111,1302772.772877866,14552862.724824851,48.621959860869595,82.09815180000001
S096,16.334475343485106,123.52448596441475,48.621912833187814,82.09693302456122,Row03_Range12,48.621959860869566,82.09692874999999,5.278521544807862,48.621912833187814,82.09693302456122,Row03_Range12,P447,1302862.6854098234,14552849.729083076,48.62195986086957,82.09692875
S097,156.0387797497761,140.49911305933534,48.62205523144844,82.09845946871724,Row21_Range13,48.62205833913043,82.09850275,3.2336771649406115,48.62205523144844,82.09845946871724,Row21_Range13,P022,1302745.3945686053,14552855.533647764,48.62205833913046,82.09850275
S098,90.20012126486449,31.59639162505819,48.62114165861863,82.09774009907497,Row12_Range04,48.62117203478261,82.0977178,3.7850026763775735,48.62114165861863,82.09774009907497,Row12_Range04,P277,1302817.3048974988,14552945.473322622,48.62117203478262,82.0977178
S099,29.748315814422508,221.2979598282305,48.622733043996334,82.09707958753566,Row05_Range20,48.62274768695652,82.0971046,2.4785531982885893,48.622733043996334,82.09707958753566,Row05_Range20,P353,1302837.1304267673,14552764.23788395,48.62274768695653,82.0971046
S100,43.87666517210073,78.4512292850932,48.62153471864567,82.09723395741284,Row06_Range08,48.621565947826085,82.0971916,4.705473390118741,48.62153471864567,82.09723395741284,Row06_Range08,P398,1302849.675573097,14552896.202091377,48.621565947826085,82.0971916
